;sentarse ;siadać;;;
;sentir;czuć (se – czuć się);;;
;ser, estar, hay;być ;;;
;servir ;służyć;;;
;silbar;gwizdać;;;
;sobrar;być w nadmiarze, być zbędnym;;;
;sobrevivir;przeżyć;;;
;socavar;podkopywać;;;
;soler ;mieć w zwyczaju;;;
;solicitar ;ubiegać się (o pracę);;;
;someter;podbijać, czynić podległym;;;
;sonar ;brzmieć, dzwonić;;;
;soñar ;śnić;;;
;sonificar;znaczyć;;;
;sonreír ;uśmiechać się;;;
;soplar;dmuchać;;;
;sorprender ;zaskakiwać;;;
;sospesar;uspokajać;;;
;sostener;popierać, podtrzymywać;;;
;subir ;wchodzić, wsiadać;;;
;subrayar;podkreślać;;;
;subyacer;leżeć poniżej, tkwić u podstaw;;;
;suceder;następować po;;;
;sudar;pocić się;;;
;sufrir ;znosić, tolerować;;;
;sumar;sumować, dodawać;;;
;sumergir;zanurzać;;;
;suministrar;dostarczać (np. danych);;;
;suplir;wyręczać, zastępować;;;
;suponer ;przypuszczać;;;
;surfear;surfować;;;
;suspender ;oblać, zawieszać;;;
;sustraer;pozbawiać;;;
;susurrar;szeptać;;;
;tapar;pokrywać, przykrywać, zatykać;;;
;tararear;nucić;;;
;tejer;tkać, pleć, prząść;;;
;temblar;drżeć;;;
;temer ;obawiać się;;;
;tender;rozciągać, rozwieszać;;;
;tener ;mieć ;;;
;teñir;farbować;;;
;tentar;kusić, uwodzić;;;
;tirar ;ciągnąć, rzucać;;;
;tirar , quitarse;Rzucać, zrzucać;;;
;tocar ;dotykać, grać;;;
;tomar ;brać, spożywać;;;
;torcer;wyginać;;;
;toser;kaszleć;;;
;tostar;piec, przypiekać;;;
;trabajar ;pracować ;;;
;traducir;tłumaczyć;;;
;traer ;przynosić ;;;
;tragar;połykać, pochłaniać;;;
;trasladarse , mudarse;przemieszczać się, przeprowadzać się ;;;
;trastornar;burzyć, zaburzać, przewracać;;;
;tratar;traktować, leczyć;;;
;trenzar;splatać;;;
;tributar;płacić podatki;;;
;trocar;wymieniać;;;
;tropezar;potykać się;;;
;unir ;łączyć;;;
;untar;smarować;;;
;usar ;używać ;;;
;vaciar;opróżniać;;;
;vacilar;wahać się, chwiać się;;;
;validar;kasować (bilet);;;
;velar;czuwać;;;
;vencer;zwyciężać;;;
;vendar;zabandażować;;;
;vender ;sprzedawać ;;;
;venir ;przychodzić ;;;
;ver ;widzieć ;;;
;verter;wlewać, rozlewać;;;
;vestirse ;ubierać się;;;
;viajar ;podróżować;;;
;vincular;wiązać, powiązać;;;
;violar;gwałcić, naruszać;;;
;visitar ;odwiedzać, zwiedzać;to visit;;
;vivir ;żyć, mieszkać;to live;;
;volar ;latać ;to fly;;
;volcar;przewracać się, upadać;;;
;volver ;wracać ;to come back;;
;envolver;owijać, pakować;to wrap;;
;volverse;stawać się;to become;;
;yacer;leżeć, spoczywać (o zmarłych);;;
;zurcir;cerować;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
