;atender;uważać, troszczyć;to look after, to attend to;;
;cuidar;pielęgnować, opiekować się;to take care of, to look after;;
;aterrizar;lądować;to land;;
;atrasar;przesuwać, cofać; to postpone, to delay ;;
;atrasarse;spóźniać się;to be late, to fall/get behind, to be delayed;;
;atreverse ;mieć czelność, ośmielać się;to dare;;
;atropellar;potrącać, przejechać;to run over;;
;aullar;wyć( zwierzę, wiatr, człowiek);to howl;;
;auxiliar;wspierać, pomagać;auxiliary, to help;;
;avalar;poręczać;to guarantee;;
;avergonzar;zawstydzać;to embarrass;;
;avinagrarse;kwaśnieć, gorzknieć;to sour, to become sour;;
;avisar;zawiadamiać, ostrzegać, uprzedzać;to notify, to warn;;
;ayudar;pomagać ;to help;;
;ayunar;pościć;to fast;;
;bailar;tańczyć ;to dance;;
;bajar;schodzić, wysiadać;to go down;;
;bañarse;kąpać się;to have a bath;;
;barajar;tasować;to shuffle, to quarrel;;
;barrer;zamiatać;to sweep;;
;batirse;bić się;to fight;;
;beber;pić ;to drink;;
;bendecir;błogosławić;to bless;;
;besar;całować;to kiss;;
;botar;marnować (pieniądze),wyrzucać, zwalniać z pracy, odbijać się, wodować;to waste, to throw away,to fire (work), to bounce, to launch  ;;
;brindar;wznosić toast, oferować;to toast , to offer ;;
;bromear;żartować;to joke, to kid ;;
;bruñir;polerować; to polish ;;
;burlarse;nabijać się, wyśmiewać;to mock, to make fun of ;;
;buscar;szukać , zabrać ze sobą;to look for, to look up, to pick up;;
;caber;mieścić się, być możliwym;to fit, to be possible;;
;caerse;upadać, mdleć, walić się, upuszczać, spadać;to fall (over down out off), to collapse, to hang, to drop ;;
;calarse;moknąć, założyć (okulary), gasnąć (silnik);to get soaked  (to get wet), to put on , to stall  ;;
;calentar ;ogrzewać, grzać;to heat, to warm up;;
;callar;milczeć, zamknąć się;to keep quiet, to shut up;;
;cambiar;zmieniać, wymienić;to change, to exchange ;;
;cambiarse;przebierać się;to change ;;
;caminar;chodzić, działać, funkcjonować;to walk, to work;;
;cansar;męczyć;to tire, to annoy;;
;cantar;śpiewać, piać;to sign;;
;captar;zdobywać, schwytać, zjednywać;to capture, to get, to win;;
;carecer;być pozbawionym, nie mieć;to lack, to not have;;
;cargar;ładować;to charge;;
;casarse;żenić się, wychodzić za mąż;to get married;;
;cazar;polować, łowić, łapać;to hunt, to catch, to trap;;
;ceder;przenieść, przekazać, ustępować;to transfer, to give in, to hand over ;;
;ceder el paso;przepuszczać;;;
;cegar;oślepiać, blokować;to blind, to block;;
;celebrar;świętować;to celebrate;;
;cenar;jeść kolację;to have supper;;
;ceñir;zaciskać, ograniczać;cling to, hug ;;
;censar;przeprowadzać spis ludności;to take a census of ,to carry out a census;;
;cerrar;zamykać;to close;;
;cesar;ustawać, wstrzymywać;to cease, to stop;;
;charlar;gawędzić, gadać;to chat;;
;chocar;zderzać się, ścierać się;to crash, to collide ;;
;chupar;ssać;to suck, to absorb;;
;citar;cytować, umówić się na spotkanie; to cite, to make an appointment;;
;clavar;wbić (gwóźdź), naprawić;to hammer, to pin, to fix;;
;coaccionar;przymuszać;to coerce, to pressure;;
;cobijar;przyjąć, dać schronienie;to give shelter to, to take in;;
;cobrar;ściągać, pozyskiwać;to charge for , to get paid, to earn;;
;cocer;gotować, piec ;to cook, to bake;;
;cocinar;gotować ;to cook;;
;coger;brać, podnosić, chwytać, zabierać;to take, to grab, to  pick up;;
;coincidir;wydarzać się jednocześnie;to coincide;;
;cojear;kuleć;to limp;;
;colaborar;współpracować;to collaborate;;
;colgar;wieszać, odkładać słuchawkę;to hang;;
;colocar;umieszczać, nakładać;to place, to put;;
;colocarse;znaleźć pracę;to find a job, to get the job;;
;comenzar;zaczynać ;to begin,  to start;;
;comer;jeść;to eat;;
;comerciar;handlować;to trade, to deal;;
;cometer;popełniać;to commit;;
;compartir ;dzielić, rozdzielać;to divide, share;;
;competir;konkurować, rywalizować;to compete;;
;comportarse , portarse;zachowywać się ;to behave;;
;comprar ;kupować;to buy;;
;comprender, entender;rozumieć ;to understand;;
;comprobar ;sprawdzać, stwierdzać;to check, to prove;;
;comprometerse;angażować się;to get engaged;;
;concebirse;począć, powziąć, układać, wyobrażać sobie;to conceive;;
;concentrar;koncentrować, skupiać się;to concentrate;;
;conciliar;pojednać, pogodzić;to reconcile , to find a balance ;;
;condenar;karać, potępiać;to condemn, to sentence;;
;conducir ;prowadzić, przewodzić;to conduct, to lead, to drive;;
;confiar;ufać, wierzyć;to trust, to confide;;
;conocer , conocerse;znać,  poznawać się;to know, to meet;;
;conseguir ;zdobywać, osiągać;to get ,to obtain , to achieve;;
;conservar ;zachowywać (także stosunki międzyludzkie), konserwować;to maintain,  to preserve ;;
;considerar ;rozważać ; to consider, to weigh , to think about  ;;
;considerarse;uważać się (kogoś);to consider oneself;;
;constar;stwierdzać;to know for a fact, to appear on;;
;consumir;spalać (samochód), zużywać;to consume, to spend;;
;contaminar;zanieczyszczać;to pollute;;
;contar ;liczyć, opowiadać, polegać;to count, to tell;;
;contestar , responder;odpowiadać ;to answer, to reply, to respond;;
;contradecir , negar;zaprzeczać;to contradict, to deny;;
;convertir;przemieniać, nawracać;to convert, to turn into, to change into ;;
;convocar;ogłaszać, powoływać;to call, to convene, to announce;;
;corear;skandować;to chorus;;
;corregir ;poprawiać;to correct;;
;correr ;biegać ;to run;;
;cortar ;ciąć, ścinać;to cut, to carve (meat) ;;
;coser;szyć;to sew, to stitch ;;
;costar ;kosztować ;to cost;;
;cotillear;plotkować;to gossip;;
;cotizar;wynosić (wartość);to quote, to value ;;
;creer ;wierzyć, sądzić;to believe, to think;;
;criar;wychowywać, karmić (mlekiem, piersią);to raise, to bring up, to breastfeed;;
;cruzar ;przechodzić, krzyżować;to cross;;
;cultivar;uprawiać, hodować;to cultivate , to grow, breed;;
;dañar;krzywdzić, szkodzić;to hurt, to harm, to damage ;;
;dar , entregar;dawać , dostarczać;to give, to have, deliver;;
;dar a luz;rodzić; to give birth;;
;dar de alta;wypisywać ze szpitala;to discharge (to dismiss), to register ;;
;darse cuenta;zdawać sobie sprawę;to realize , to notice;;
;darse prisa;spieszyć się;to hurry up;;
;deber ;być winnym, musieć;to owe ,to have to, must;;
;decidir ;postanawiać;to decide;;
;decir ;mówić, powiedzieć;to say, to tell;;
;dejar;pożyczać, opuszczać, zostawiać, porzucać;to leave, to let, to lend;;
;delinquir;popełniać przestępstwo;to commit a crime;;
